"Gen_A","Gen_B","Mean_Gen","Pcrit","Gen_Span","Ne","Parametric_CI_low","Parametric_CI_high","Jackknife_CI_low","Jackknife_CI_high","Ne_Type"
1995,1996,1995.5,0.05,1,5016.31006,4520.1,"5538",199.1,"Infinite","Jorde_Ryman"
1995,1997,1996,0.05,2,2358.65381,2121.1,"2608.6",288.2,"Infinite","Jorde_Ryman"
1995,1998,1996.5,0.05,3,2932.26001,2645.4,"3233.7",492.5,"Infinite","Jorde_Ryman"
1995,1999,1997,0.05,4,10500,-4111.5,"Infinite",822.8,"Infinite","Jorde_Ryman"
1995,2002,1998.5,0.05,7,655.52588,592.5,"721.7",416.8,"1534.7","Jorde_Ryman"
1995,2004,1999.5,0.05,9,1416.39978,1280.1,"1559.5",767.3,"9196.4","Jorde_Ryman"
1995,2006,2000.5,0.05,11,1836.15308,1660.7,"2020.3",934.5,"52391.4","Jorde_Ryman"
1995,2008,2001.5,0.05,13,1669.45691,1509.2,"1837.6",1022.3,"4548.5","Jorde_Ryman"
1995,2009,2002,0.05,14,5171.24268,4669.7,"5698",1732.3,"Infinite","Jorde_Ryman"
1995,2010,2002.5,0.05,15,4045.8877,3640.9,"4472",1467.5,"Infinite","Jorde_Ryman"
1995,2011,2003,0.05,16,3574.77026,3231.1,"3935.6",1683.4,"Infinite","Jorde_Ryman"
1995,2012,2003.5,0.05,17,1361.63977,1231.8,"1497.8",916,"2651.3","Jorde_Ryman"
1995,2013,2004,0.05,18,4776.86182,4309.2,"5268.3",1939.2,"Infinite","Jorde_Ryman"
1995,2014,2004.5,0.05,19,1581.19116,1428.6,"1741.4",1011.7,"3617.7","Jorde_Ryman"
1995,2015,2005,0.05,20,3847.56055,3471.8,"4242.3",1888.4,"Infinite","Jorde_Ryman"
1995,2016,2005.5,0.05,21,2330.25732,2105.9,"2565.8",1307.8,"10681.3","Jorde_Ryman"
1995,2017,2006,0.05,22,2130.96875,1923,"2349.5",1294.7,"6017.4","Jorde_Ryman"
1995,2018,2006.5,0.05,23,1407.0293,1272.8,"1547.9",915.1,"3042.2","Jorde_Ryman"
1995,2019,2007,0.05,24,1122.42944,1014.3,"1235.9",736.8,"2355","Jorde_Ryman"
1995,2020,2007.5,0.05,25,1333.68933,1205.3,"1468.5",899.8,"2576","Jorde_Ryman"
1996,1997,1996.5,0.05,1,10500,-444.8,"Infinite",283.1,"Infinite","Jorde_Ryman"
1996,1998,1997,0.05,2,10500,-548,"Infinite",1832.6,"Infinite","Jorde_Ryman"
1996,1999,1997.5,0.05,3,2806.01807,2522.4,"3104.5",467.3,"Infinite","Jorde_Ryman"
1996,2002,1999,0.05,6,1387.1781,1253.6,"1527.5",651.7,"Infinite","Jorde_Ryman"
1996,2004,2000,0.05,8,10000,19859.3,"24232.2",1615.7,"Infinite","Jorde_Ryman"
1996,2006,2001,0.05,10,1649.45593,1491.3,"1815.5",894.2,"10614","Jorde_Ryman"
1996,2008,2002,0.05,12,2746.10376,2483.5,"3021.7",1311.5,"Infinite","Jorde_Ryman"
1996,2009,2002.5,0.05,13,2804.24194,2532.8,"3089.3",1301.4,"Infinite","Jorde_Ryman"
1996,2010,2003,0.05,14,10500,-20535.2,"Infinite",2487.5,"Infinite","Jorde_Ryman"
1996,2011,2003.5,0.05,15,7806.56934,7058.3,"8592",2218.4,"Infinite","Jorde_Ryman"
1996,2012,2004,0.05,16,1924.59363,1740.5,"2117.8",1180.5,"5206","Jorde_Ryman"
1996,2013,2004.5,0.05,17,6120.64258,5524.1,"6747.4",2200,"Infinite","Jorde_Ryman"
1996,2014,2005,0.05,18,2633.76855,2379.8,"2900.5",1438.4,"15588.1","Jorde_Ryman"
1996,2015,2005.5,0.05,19,4179.45508,3769.7,"4610",1946.9,"Infinite","Jorde_Ryman"
1996,2016,2006,0.05,20,2994.95508,2706.1,"3298.2",1611.9,"21103.2","Jorde_Ryman"
1996,2017,2006.5,0.05,21,3567.88574,3218.3,"3935.2",1878.2,"35560.2","Jorde_Ryman"
1996,2018,2007,0.05,22,1659.28235,1500,"1826.5",991.8,"5073.8","Jorde_Ryman"
1996,2019,2007.5,0.05,23,1091.74304,988,"1200.6",690.5,"2605.8","Jorde_Ryman"
1996,2020,2008,0.05,24,1534.54199,1386.8,"1689.6",987.4,"3441.1","Jorde_Ryman"
1997,1998,1997.5,0.05,1,10500,-1503,"Infinite",203,"Infinite","Jorde_Ryman"
1997,1999,1998,0.05,2,10500,-3362,"Infinite",389.3,"Infinite","Jorde_Ryman"
1997,2002,1999.5,0.05,5,493.30267,445.5,"543.5",311.8,"1180.1","Jorde_Ryman"
1997,2004,2000.5,0.05,7,857.57782,773.8,"945.6",493.8,"3258.2","Jorde_Ryman"
1997,2006,2001.5,0.05,9,863.06287,779,"951.4",545.6,"2064.3","Jorde_Ryman"
