##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Male2_S63_L004_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	435805834
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	34.98702656192528	37.0	37.0	37.0	25.0	37.0
2	34.976377158824356	37.0	37.0	37.0	25.0	37.0
3	35.28304911585924	37.0	37.0	37.0	37.0	37.0
4	35.40904816340756	37.0	37.0	37.0	37.0	37.0
5	35.466883286376564	37.0	37.0	37.0	37.0	37.0
6	35.45185614931442	37.0	37.0	37.0	37.0	37.0
7	35.524243964113616	37.0	37.0	37.0	37.0	37.0
8	35.47639815670756	37.0	37.0	37.0	37.0	37.0
9	35.444342202174376	37.0	37.0	37.0	37.0	37.0
10-14	35.39454301752188	37.0	37.0	37.0	37.0	37.0
15-19	35.268249738483306	37.0	37.0	37.0	37.0	37.0
20-24	35.070668125108206	37.0	37.0	37.0	29.8	37.0
25-29	34.854435387847516	37.0	37.0	37.0	25.0	37.0
30-34	34.59732105926788	37.0	37.0	37.0	25.0	37.0
35-39	34.376872100339995	37.0	37.0	37.0	25.0	37.0
40-44	34.16314980767329	37.0	37.0	37.0	25.0	37.0
45-49	33.94385275760214	37.0	37.0	37.0	25.0	37.0
50-54	33.74629517740692	37.0	37.0	37.0	25.0	37.0
55-59	33.55893517570488	37.0	37.0	37.0	19.4	37.0
60-64	33.35406181643727	37.0	37.0	37.0	11.0	37.0
65-69	33.17481798465323	37.0	37.0	37.0	11.0	37.0
70-74	33.001140019158164	37.0	37.0	37.0	11.0	37.0
75-79	32.82610137706418	37.0	37.0	37.0	11.0	37.0
80-84	32.661968794112106	37.0	37.0	37.0	11.0	37.0
85-89	32.47639639170135	37.0	37.0	37.0	11.0	37.0
90-94	32.30257289855372	37.0	37.0	37.0	11.0	37.0
95-99	32.130287607852445	37.0	37.0	37.0	11.0	37.0
100-104	31.984160820573134	37.0	37.0	37.0	11.0	37.0
105-109	31.853809252585638	37.0	37.0	37.0	11.0	37.0
110-114	31.682889553057244	37.0	27.4	37.0	11.0	37.0
115-119	31.54304445084597	37.0	25.0	37.0	11.0	37.0
120-124	31.42851681099799	37.0	25.0	37.0	11.0	37.0
125-129	31.333551265401372	37.0	25.0	37.0	11.0	37.0
130-134	31.231051193316517	37.0	25.0	37.0	11.0	37.0
135-139	31.110377739459086	37.0	25.0	37.0	11.0	37.0
140-144	31.01712218152637	37.0	25.0	37.0	11.0	37.0
145-149	30.984784103188485	37.0	25.0	37.0	11.0	37.0
150-151	30.804295273614898	37.0	25.0	37.0	11.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.2323404671823539
1101	2	-0.3850348085882871
1101	3	-0.2262143231178797
1101	4	-0.19282417602509128
1101	5	-0.16630966258215807
1101	6	-0.13086105476013188
1101	7	-0.15762812905580859
1101	8	-0.13413477818057373
1101	9	-0.15663422371385138
1101	10-14	-0.15320777134840569
1101	15-19	-0.167735095909201
1101	20-24	-0.18464650429710616
1101	25-29	-0.1446687476358548
1101	30-34	-0.16770068516491676
1101	35-39	-0.11886424980126264
1101	40-44	-0.1257600375690373
1101	45-49	-0.12385381793830419
1101	50-54	-0.1261183564432713
1101	55-59	-0.12684150125514293
1101	60-64	-0.11378691552857134
1101	65-69	-0.13388724860156032
1101	70-74	-0.11057400146938079
1101	75-79	-0.08158794127191982
1101	80-84	-0.08776181915900594
1101	85-89	-0.10163367702865855
1101	90-94	-0.1013405223762689
1101	95-99	-0.13520735911402681
1101	100-104	-0.1266784942113901
1101	105-109	-0.07629306462208163
1101	110-114	-0.11825703909395813
1101	115-119	-0.05507440646178807
1101	120-124	-0.05364563419702506
1101	125-129	-0.03872423405156411
1101	130-134	0.009425429145888842
1101	135-139	0.0026471779700507625
1101	140-144	-0.019336567938339044
1101	145-149	0.07080840398892718
1101	150-151	0.12176087516565204
1102	1	-0.1510023711891577
1102	2	-0.2539791924293695
1102	3	-0.19643781234357505
1102	4	-0.11383456079789767
1102	5	-0.09869617643361295
1102	6	-0.13892953935884833
1102	7	-0.17846884160878318
1102	8	-0.11477697747248072
1102	9	-0.12901233485781205
1102	10-14	-0.09981953995089299
1102	15-19	-0.07456796321494608
1102	20-24	-0.06606834033371456
1102	25-29	-0.07966990490761106
1102	30-34	-0.031888089742757586
1102	35-39	-0.04534649683045444
1102	40-44	-0.05236877545619478
1102	45-49	-0.04728335514356985
1102	50-54	-0.051668077410624846
1102	55-59	-0.040368529284187105
1102	60-64	-0.0839518278087823
1102	65-69	0.0039816576239743995
1102	70-74	-0.019576810298076452
1102	75-79	-0.021829168765108875
1102	80-84	-0.013237767393704303
1102	85-89	-0.008571142002722354
1102	90-94	-0.034314100138530534
1102	95-99	0.017604853458713876
1102	100-104	-0.03759356340920306
1102	105-109	0.058465415928644404
1102	110-114	0.037658153217879686
1102	115-119	0.09020401623801533
1102	120-124	0.0681669474363602
1102	125-129	0.0683225899374591
1102	130-134	0.10969120064936533
1102	135-139	0.08933817009033262
1102	140-144	0.08940355075482387
1102	145-149	0.20340821603954495
1102	150-151	0.1920581483801378
1103	1	-0.165195558423207
1103	2	-0.17469368971904942
1103	3	-0.12817913921584534
1103	4	-0.0986097204461629
1103	5	-0.08137840929185103
1103	6	-0.08584583044321903
1103	7	-0.10074207860766649
1103	8	-0.09838866437889493
1103	9	-0.09380364715968881
1103	10-14	-0.09336147030717967
1103	15-19	-0.060271525271346604
1103	20-24	-0.05221180456840813
