##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Smelt2F_S432_L004_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	627984118
Sequences flagged as poor quality	0
Sequence length	151
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.155328966456445	37.0	37.0	37.0	37.0	37.0
2	36.37040029410425	37.0	37.0	37.0	37.0	37.0
3	36.48958296426216	37.0	37.0	37.0	37.0	37.0
4	36.528561615629904	37.0	37.0	37.0	37.0	37.0
5	36.557807848892125	37.0	37.0	37.0	37.0	37.0
6	36.562882841887415	37.0	37.0	37.0	37.0	37.0
7	36.58399774689843	37.0	37.0	37.0	37.0	37.0
8	36.60696865266902	37.0	37.0	37.0	37.0	37.0
9	36.57995650934599	37.0	37.0	37.0	37.0	37.0
10-14	36.551352033078004	37.0	37.0	37.0	37.0	37.0
15-19	36.46061145769294	37.0	37.0	37.0	37.0	37.0
20-24	36.271418366029444	37.0	37.0	37.0	37.0	37.0
25-29	36.07624698018239	37.0	37.0	37.0	37.0	37.0
30-34	35.82607388902151	37.0	37.0	37.0	37.0	37.0
35-39	35.59304763627796	37.0	37.0	37.0	37.0	37.0
40-44	35.347138215683344	37.0	37.0	37.0	37.0	37.0
45-49	35.096231672852596	37.0	37.0	37.0	34.6	37.0
50-54	34.848131368507	37.0	37.0	37.0	25.0	37.0
55-59	34.60287808265877	37.0	37.0	37.0	25.0	37.0
60-64	34.363964472107874	37.0	37.0	37.0	25.0	37.0
65-69	34.124342071657296	37.0	37.0	37.0	25.0	37.0
70-74	33.89626780497655	37.0	37.0	37.0	25.0	37.0
75-79	33.67705396141882	37.0	37.0	37.0	19.4	37.0
80-84	33.46050175396314	37.0	37.0	37.0	11.0	37.0
85-89	33.247074156419984	37.0	37.0	37.0	11.0	37.0
90-94	33.05245894005237	37.0	37.0	37.0	11.0	37.0
95-99	32.864764327367915	37.0	37.0	37.0	11.0	37.0
100-104	32.68792758067808	37.0	37.0	37.0	11.0	37.0
105-109	32.514127633718275	37.0	37.0	37.0	11.0	37.0
110-114	32.35412607043033	37.0	37.0	37.0	11.0	37.0
115-119	32.21133782462951	37.0	37.0	37.0	11.0	37.0
120-124	32.07684600106399	37.0	37.0	37.0	11.0	37.0
125-129	31.961937736457212	37.0	37.0	37.0	11.0	37.0
130-134	31.848350332961765	37.0	37.0	37.0	11.0	37.0
135-139	31.76362621578274	37.0	34.6	37.0	11.0	37.0
140-144	31.68849246693847	37.0	25.0	37.0	11.0	37.0
145-149	31.618032406354587	37.0	25.0	37.0	11.0	37.0
150-151	31.356109209755523	37.0	25.0	37.0	11.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.02140697013951609
1101	2	-0.02703646940504001
1101	3	-0.053850558152248595
1101	4	-0.04064790019293696
1101	5	-0.03698442277877945
1101	6	-0.04565734416413392
1101	7	-0.02994928606521796
1101	8	-0.01954351084629735
1101	9	-0.05796898128496508
1101	10-14	-0.04046140121395325
1101	15-19	-0.03816457063314971
1101	20-24	-0.0481149999791981
1101	25-29	-0.04489013397131458
1101	30-34	-0.0785639232783808
1101	35-39	-0.06781739884757343
1101	40-44	-0.04789754966692783
1101	45-49	-0.0874546807222174
1101	50-54	-0.09990987000470852
1101	55-59	-0.13178065969974284
1101	60-64	-0.13518508854984645
1101	65-69	-0.1393786611526764
1101	70-74	-0.1410658159265452
1101	75-79	-0.15524542776820027
1101	80-84	-0.16747684737305235
1101	85-89	-0.16405979201527998
1101	90-94	-0.19012713897090805
1101	95-99	-0.17341631455648354
1101	100-104	-0.1883229760535059
1101	105-109	-0.1438526316397244
1101	110-114	-0.1961158539090917
1101	115-119	-0.20445135376558454
1101	120-124	-0.2563921174224504
1101	125-129	-0.11985599130006008
1101	130-134	-0.20173933650392684
1101	135-139	-0.2511190230789957
1101	140-144	-0.2365754815531318
1101	145-149	-0.21933667336383422
1101	150-151	-0.27409929215265905
1102	1	0.012509106962156125
1102	2	0.031126873399742294
1102	3	-5.380910890764312E-4
1102	4	0.015832933988043862
1102	5	-0.00531670487125524
1102	6	-0.013836047956253594
1102	7	-0.0026840211432457295
1102	8	-0.021263901317084333
1102	9	-0.011642014052931415
1102	10-14	-0.015018970461859737
1102	15-19	-0.01662735145723815
1102	20-24	-0.033787686742392964
1102	25-29	-0.024511070210273544
1102	30-34	-0.052725169616628875
1102	35-39	-0.06381695480635585
1102	40-44	-0.06557551976201381
1102	45-49	-0.07771222574204018
1102	50-54	-0.09175833181970461
1102	55-59	-0.11421044922253998
1102	60-64	-0.09094726042059165
1102	65-69	-0.09942267448079178
1102	70-74	-0.1143214732486797
1102	75-79	-0.1284112842970302
1102	80-84	-0.13916626999979798
1102	85-89	-0.16312120598804114
1102	90-94	-0.17577438001185186
1102	95-99	-0.12768502337044652
1102	100-104	-0.17960067364939647
1102	105-109	-0.13511045121588694
1102	110-114	-0.15125839416933218
1102	115-119	-0.11438876060265102
1102	120-124	-0.19844176214166964
1102	125-129	-0.08115330325867731
1102	130-134	-0.16617556657661225
1102	135-139	-0.2186620390886702
1102	140-144	-0.17526778785081376
1102	145-149	-0.155540815176181
1102	150-151	-0.13093454930664095
1103	1	0.0010439775348061175
1103	2	0.018217362053427166
1103	3	-0.027643698846013365
1103	4	-0.031113024837424064
1103	5	-0.005853611416121396
1103	6	-0.02231972073820998
1103	7	0.013194382441277241
1103	8	-0.006542844446038032
1103	9	-0.008327483847601513
1103	10-14	-0.016881141050269832
1103	15-19	-0.022901134738468443
1103	20-24	-0.034821711430623736
1103	25-29	-0.029671502443221698
1103	30-34	-0.03779286122219361
1103	35-39	-0.03801358457594972
1103	40-44	-0.04840223980550462
1103	45-49	-0.049314663744155496
1103	50-54	-0.0839243498758222
1103	55-59	-0.08766698136141571
1103	60-64	-0.11271253872248366
1103	65-69	-0.11883692155100789
1103	70-74	-0.13010553990999796
1103	75-79	-0.15270927440224824
1103	80-84	-0.12561866781704367
1103	85-89	-0.14452496076626886
1103	90-94	-0.1818364767195959
1103	95-99	-0.09944051804939136
1103	100-104	-0.1793511604033995
1103	105-109	-0.1292269581456651
1103	110-114	-0.194123002495175
1103	115-119	-0.13768047225201485
1103	120-124	-0.20812098553096803
1103	125-129	-0.11326165537884947
1103	130-134	-0.17819769403457286
1103	135-139	-0.2612625034957574
1103	140-144	-0.2010307833852032
1103	145-149	-0.18180887229945952
1103	150-151	-0.21963123471971713
1104	1	-0.025379048571316787
1104	2	0.009293287135982098
1104	3	-0.02444534292664713
1104	4	-0.017400969306081038
1104	5	-0.022207089818564896
1104	6	-0.02533766013188199
1104	7	-0.007198885094062746
1104	8	-0.008654638825937866
1104	9	-0.05643169348773114
1104	10-14	-0.024699025781558248
1104	15-19	-0.0169030601093354
1104	20-24	-0.04900547116623244
1104	25-29	-0.04655527796553116
1104	30-34	-0.05091959229365273
1104	35-39	-0.06851343012205291
1104	40-44	-0.07268753619830193
1104	45-49	-0.09009153699742711
1104	50-54	-0.09908054742589201
1104	55-59	-0.12618446645054604
1104	60-64	-0.13345911657075504
1104	65-69	-0.15661903364973995
1104	70-74	-0.1629040948462972
1104	75-79	-0.14123342346821488
1104	80-84	-0.15007515579103625
1104	85-89	-0.16620522660077341
1104	90-94	-0.19726725155933167
1104	95-99	-0.12732799144118445
1104	100-104	-0.2099949555743379
1104	105-109	-0.15700407317746112
1104	110-114	-0.17005116513790597
1104	115-119	-0.1902067361558224
1104	120-124	-0.24435132237896084
1104	125-129	-0.10298796681922084
1104	130-134	-0.22331669511933327
1104	135-139	-0.23239871371048082
1104	140-144	-0.22762413265440884
1104	145-149	-0.26746912162935743
1104	150-151	-0.23264229569588935
1105	1	-0.022959554689272466
1105	2	-0.002853239648167971
1105	3	-0.027949804207672457
1105	4	-0.05622048234621957
1105	5	-0.023478521715198042
1105	6	-0.03648721913632613
1105	7	-0.03528905840626351
1105	8	-0.02971685011814884
1105	9	-0.0357667657011973
1105	10-14	-0.035182949340359926
1105	15-19	-0.048103823014407965
1105	20-24	-0.07330041517275276
1105	25-29	-0.07464089727043444
1105	30-34	-0.08754413904722469
1105	35-39	-0.09781574610338595
1105	40-44	-0.11911573001069797
1105	45-49	-0.10136804817489775
1105	50-54	-0.13145075613810775
1105	55-59	-0.1585585197558501
1105	60-64	-0.15492053282096663
1105	65-69	-0.15850788633070323
1105	70-74	-0.1690460152346489
1105	75-79	-0.18740710180571796
1105	80-84	-0.20302536271089622
1105	85-89	-0.2201861931612541
1105	90-94	-0.2083690137485803
1105	95-99	-0.18730773783455135
1105	100-104	-0.23600699591204233
1105	105-109	-0.18806636310463176
1105	110-114	-0.23919314115724433
1105	115-119	-0.18379285028501613
1105	120-124	-0.25861440078674036
1105	125-129	-0.11103494773254141
1105	130-134	-0.23551743641562695
1105	135-139	-0.3227134677086987
1105	140-144	-0.23620073992348622
1105	145-149	-0.25480947581057833
1105	150-151	-0.18084461879123737
1106	1	0.007163726648357738
1106	2	0.016813501913809148
1106	3	0.016887097701996368
1106	4	-0.021062985543856882
1106	5	-0.01563550783885148
1106	6	-0.0034277347201623343
1106	7	-0.009526114455070456
1106	8	-0.007709913474428731
1106	9	-0.04556432345174244
1106	10-14	-0.012153771024436821
1106	15-19	-0.017351817891217536
1106	20-24	-0.05034932127195901
1106	25-29	-0.01801359856656859
1106	30-34	-0.037502799817104915
1106	35-39	-0.03974299820668392
1106	40-44	-0.04528608843815363
1106	45-49	-0.07624934819627072
1106	50-54	-0.09289128907005306
1106	55-59	-0.09777449292450058
1106	60-64	-0.1411515349238428
1106	65-69	-0.10562368806172628
1106	70-74	-0.14147332341274677
1106	75-79	-0.1791462083475679
1106	80-84	-0.17532956755916018
1106	85-89	-0.15967241913053698
1106	90-94	-0.16276949713395794
1106	95-99	-0.12486828450879983
1106	100-104	-0.19102862584816904
1106	105-109	-0.11815728261247216
1106	110-114	-0.15780126795036864
1106	115-119	-0.14187615878507387
1106	120-124	-0.17880425621103768
1106	125-129	-0.08182671040290757
1106	130-134	-0.14886002095297002
1106	135-139	-0.19807421404361492
1106	140-144	-0.1321639093761
1106	145-149	-0.15962253737354715
1106	150-151	-0.082912454128941
1107	1	-0.013451446977832404
1107	2	0.009952425524843989
1107	3	-0.03214765978842138
1107	4	-0.0034221217453307418
1107	5	0.002808724082797198
1107	6	-0.03231247167715168
1107	7	-0.025998671344474644
1107	8	-0.017976051470334653
1107	9	-0.013316267313811636
1107	10-14	-0.026091136020724548
1107	15-19	-0.03225514353387382
1107	20-24	-0.050788659814692494
1107	25-29	-0.03282733140170535
1107	30-34	-0.041065884002136954
1107	35-39	-0.04849997678148554
1107	40-44	-0.054195286310417146
1107	45-49	-0.0705719411500283
1107	50-54	-0.08110393602203203
1107	55-59	-0.16033689940864804
1107	60-64	-0.13312776160646678
1107	65-69	-0.13085020943969994
1107	70-74	-0.17169634143084522
1107	75-79	-0.18259177583230013
1107	80-84	-0.1920980250066009
1107	85-89	-0.19147494416802857
1107	90-94	-0.19131312795092725
1107	95-99	-0.16343822044345302
1107	100-104	-0.2313607261405437
1107	105-109	-0.19317579928813444
1107	110-114	-0.21676522368590412
1107	115-119	-0.1610336526977676
1107	120-124	-0.25685776085555645
1107	125-129	-0.17520324778076812
1107	130-134	-0.22027402533073825
1107	135-139	-0.3094170745988585
1107	140-144	-0.24203412223739562
1107	145-149	-0.2659515703374318
1107	150-151	-0.2389949268248195
1108	1	-0.025635839852377273
1108	2	-0.03190528329788833
1108	3	-0.06209488852170608
1108	4	-0.04537118394400608
1108	5	-0.021882066761172325
1108	6	-0.0601631288493536
1108	7	-0.04041654113526505
1108	8	-0.04304673712244522
1108	9	-0.06415238263530654
1108	10-14	-0.036518846817784834
