##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Smelt2F_S432_L004_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	627984118
Sequences flagged as poor quality	0
Sequence length	151
%GC	53
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.472665563494395	37.0	37.0	37.0	37.0	37.0
2	35.419215813671265	37.0	37.0	37.0	37.0	37.0
3	35.66586161817551	37.0	37.0	37.0	37.0	37.0
4	35.68934255913778	37.0	37.0	37.0	37.0	37.0
5	35.6459223527688	37.0	37.0	37.0	37.0	37.0
6	35.55060561260882	37.0	37.0	37.0	37.0	37.0
7	35.61092394218798	37.0	37.0	37.0	37.0	37.0
8	35.48538508739802	37.0	37.0	37.0	37.0	37.0
9	35.41660047682926	37.0	37.0	37.0	37.0	37.0
10-14	35.255037070220936	37.0	37.0	37.0	37.0	37.0
15-19	34.97341460632289	37.0	37.0	37.0	32.2	37.0
20-24	34.684028025689656	37.0	37.0	37.0	25.0	37.0
25-29	34.36651935009605	37.0	37.0	37.0	25.0	37.0
30-34	34.02756366746205	37.0	37.0	37.0	25.0	37.0
35-39	33.701431396072344	37.0	37.0	37.0	22.2	37.0
40-44	33.39869727756395	37.0	37.0	37.0	11.0	37.0
45-49	33.077931624379076	37.0	37.0	37.0	11.0	37.0
50-54	32.81128028018058	37.0	37.0	37.0	11.0	37.0
55-59	32.55632208233648	37.0	37.0	37.0	11.0	37.0
60-64	32.29947576413071	37.0	37.0	37.0	11.0	37.0
65-69	32.079163791846085	37.0	37.0	37.0	11.0	37.0
70-74	31.830108667811885	37.0	37.0	37.0	11.0	37.0
75-79	31.60824131001351	37.0	32.2	37.0	11.0	37.0
80-84	31.374658178218446	37.0	25.0	37.0	11.0	37.0
85-89	31.18247424371965	37.0	25.0	37.0	11.0	37.0
90-94	31.01641151345168	37.0	25.0	37.0	11.0	37.0
95-99	30.836703533639366	37.0	25.0	37.0	11.0	37.0
100-104	30.640442942539515	37.0	25.0	37.0	11.0	37.0
105-109	30.44965390924106	37.0	25.0	37.0	11.0	37.0
110-114	30.224597602960397	37.0	25.0	37.0	11.0	37.0
115-119	30.104585750367654	37.0	25.0	37.0	11.0	37.0
120-124	30.0231050683992	37.0	25.0	37.0	11.0	37.0
125-129	29.947801740744023	37.0	25.0	37.0	11.0	37.0
130-134	29.879901811465874	37.0	25.0	37.0	11.0	37.0
135-139	29.839346158751106	37.0	25.0	37.0	11.0	37.0
140-144	29.840802154490156	37.0	25.0	37.0	11.0	37.0
145-149	29.92769735555637	37.0	25.0	37.0	11.0	37.0
150-151	29.6400952874098	37.0	25.0	37.0	11.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.18868268559193524
1101	2	-0.2175044040807279
1101	3	-0.12367006840079853
1101	4	-0.10253675856118605
1101	5	0.04337151497337999
1101	6	0.05758807790514453
1101	7	0.04294307933754027
1101	8	0.10687430726111558
1101	9	0.13204748156443458
1101	10-14	0.16954431690571425
1101	15-19	0.20464958098330044
1101	20-24	0.1914919120522498
1101	25-29	0.1749891229152638
1101	30-34	0.11623843674158962
1101	35-39	0.10540095946558381
1101	40-44	0.12046594137565592
1101	45-49	0.1281861605238248
1101	50-54	0.11660754578757349
1101	55-59	0.026823993636241994
1101	60-64	0.07323902759843293
1101	65-69	-0.01747622383283698
1101	70-74	0.03227251499918182
1101	75-79	0.06028979512624133
1101	80-84	0.06730441328148729
1101	85-89	0.03472357031899875
1101	90-94	-0.029837080929080884
1101	95-99	-0.012488479667943864
1101	100-104	0.02125098477050713
1101	105-109	0.051387467322726366
1101	110-114	0.10374286895049423
1101	115-119	0.16716948995301806
1101	120-124	0.13453570618316846
1101	125-129	0.1983650653626583
1101	130-134	0.1816235272554394
1101	135-139	0.21368472156675722
1101	140-144	0.13737662776410886
1101	145-149	0.2134053665576836
1101	150-151	0.18533022519942932
1102	1	-0.1515109977302629
1102	2	-0.15265691505725698
1102	3	-0.10048479717525538
1102	4	-0.10784850438977855
1102	5	0.021692003919085323
1102	6	0.07039222489635222
1102	7	0.0360092298596939
1102	8	0.09315101353077893
1102	9	0.15623728232260703
1102	10-14	0.1922434666517603
1102	15-19	0.21379846686091497
1102	20-24	0.2021778896574844
1102	25-29	0.18348723506414188
1102	30-34	0.15860880165445934
1102	35-39	0.16144851188946774
1102	40-44	0.127838486983876
1102	45-49	0.16093468998914062
1102	50-54	0.16942702001411902
1102	55-59	0.12284566436332511
1102	60-64	0.0924887184018175
1102	65-69	0.06920729123667257
1102	70-74	0.12209320401780133
1102	75-79	0.10666223009103248
1102	80-84	0.04182846349613101
1102	85-89	0.03939286689102772
1102	90-94	0.0574888711679975
1102	95-99	0.050501267917699266
1102	100-104	0.058672894800650965
1102	105-109	0.06924530955410191
1102	110-114	0.10073389432752222
1102	115-119	0.1623616893315507
1102	120-124	0.25935221597852376
1102	125-129	0.2751842626537595
1102	130-134	0.2371050744486638
1102	135-139	0.26907138453205803
1102	140-144	0.25184256480548584
1102	145-149	0.289013501029622
1102	150-151	0.16467775657744355
1103	1	-0.09081372562231849
1103	2	-0.12454374816017122
1103	3	-0.055810026766216936
1103	4	-0.06860748755445911
1103	5	0.04738956845143605
1103	6	0.08220938681562728
1103	7	0.06969914302615621
1103	8	0.09772424644805255
1103	9	0.13243661854424005
1103	10-14	0.17499802531683883
1103	15-19	0.21214807670649805
1103	20-24	0.20769833519417347
1103	25-29	0.17574041349606517
1103	30-34	0.15663827689962773
1103	35-39	0.15271196334234816
