sex,metric,a0,a1,a2,a3,a4
male,N50,11604,353581,1188596,2749144,12200365
male,L50,1276120,324,106,38,15
male,n_notigs,3095133,2086,1106,705,549
male,total_length,35145204844,471831811,471929811,472145811,472157411
male,BUSCO_complete,0.904,0.88,0.885,0.882,0.884
male,BUSCO_single,0.034,0.795,0.805,0.805,0.812
male,BUSCO_double,0.87,0.085,0.08,0.077,0.072
male,BUSCO_fragmented,0.04,0.015,0.011,0.011,0.01
female,N50,15048,418614,1392224,4383157,14850352
female,L50,771808,264,80,26,13
female,n_notigs,2741504,1805,1012,515,376
female,total_length,27984871336,436920153,436999453,437264453,437273953
female,BUSCO_complete,0.926,0.89,0.859,0.895,0.893
female,BUSCO_single,0.033,0.874,0.844,0.88,0.877
female,BUSCO_double,0.893,0.016,0.015,0.015,0.016
female,BUSCO_fragmented,0.03,0.011,0.031,0.008,0.008
