##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Smelt-Joslin_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	87444477
Sequences flagged as poor quality	0
Sequence length	150
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.452437562180172	32.0	32.0	32.0	27.0	32.0
2	30.47352371951404	32.0	32.0	32.0	27.0	32.0
3	33.801000708140776	37.0	32.0	37.0	27.0	37.0
4	34.30965850479042	37.0	37.0	37.0	27.0	37.0
5	34.82157108675943	37.0	37.0	37.0	32.0	37.0
6	37.863128302545626	41.0	37.0	41.0	32.0	41.0
7	38.16887051654503	41.0	37.0	41.0	32.0	41.0
8	38.062712868646926	41.0	37.0	41.0	32.0	41.0
9	37.82639739500072	41.0	37.0	41.0	32.0	41.0
10-14	38.02433493655637	41.0	39.4	41.0	31.0	41.0
15-19	38.03955904499263	41.0	41.0	41.0	28.0	41.0
20-24	37.93969464532334	41.0	40.2	41.0	27.0	41.0
25-29	37.85037969865152	41.0	37.0	41.0	27.0	41.0
30-34	37.78329109796151	41.0	37.0	41.0	27.0	41.0
35-39	37.6651007793208	41.0	37.0	41.0	27.0	41.0
40-44	37.53528524848973	41.0	37.0	41.0	27.0	41.0
45-49	37.37588315383257	41.0	37.0	41.0	27.0	41.0
50-54	37.22651227932898	41.0	37.0	41.0	27.0	41.0
55-59	37.05472274023664	41.0	37.0	41.0	27.0	41.0
60-64	36.93610640269482	41.0	37.0	41.0	23.0	41.0
65-69	36.804936110487574	41.0	37.0	41.0	22.0	41.0
70-74	36.679518581831076	41.0	37.0	41.0	22.0	41.0
75-79	36.211367103264855	41.0	36.0	41.0	22.0	41.0
80-84	36.70662941239845	41.0	37.0	41.0	22.0	41.0
85-89	36.5835670147584	41.0	37.0	41.0	22.0	41.0
90-94	36.37579828169136	41.0	37.0	41.0	22.0	41.0
95-99	36.21867654831991	41.0	37.0	41.0	22.0	41.0
100-104	35.98114951044878	41.0	37.0	41.0	22.0	41.0
105-109	35.77180329410627	41.0	37.0	41.0	22.0	41.0
110-114	35.50269028883322	41.0	34.0	41.0	22.0	41.0
115-119	35.178161452094905	41.0	32.0	41.0	14.0	41.0
120-124	34.955909284013444	41.0	32.0	41.0	12.0	41.0
125-129	34.64724823958865	41.0	32.0	41.0	12.0	41.0
130-134	34.40095293611282	41.0	32.0	41.0	12.0	41.0
135-139	34.1059898637166	41.0	32.0	41.0	12.0	41.0
140-144	33.94792715153411	41.0	30.0	41.0	12.0	41.0
145-149	33.68730098299976	40.2	27.0	41.0	12.0	41.0
150	33.617692058470425	41.0	27.0	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-1.1767611773968305
1101	2	0.5181466272073969
1101	3	-0.9273239876723522
1101	4	0.16389846822580267
1101	5	0.37067106047059895
1101	6	0.34720175063367975
1101	7	0.15753714431046717
1101	8	-0.6223726892213008
1101	9	-0.7496829994747216
1101	10-14	-0.21162539231590927
1101	15-19	-0.17142751370150933
1101	20-24	-0.2749975430975766
1101	25-29	0.005390243994561672
1101	30-34	-0.12682909474968795
1101	35-39	-0.04772763647910949
1101	40-44	-0.1537934391636
1101	45-49	-0.10098812352807585
1101	50-54	-0.059708611162299974
1101	55-59	-0.7546935763104159
1101	60-64	-0.7417174602215297
1101	65-69	-0.7082380631765588
1101	70-74	-1.7040415275577985
1101	75-79	-1.8383735287920118
1101	80-84	-1.322380710160509
1101	85-89	-2.0633610408447964
1101	90-94	-3.0579425489147383
1101	95-99	-3.2595453880698315
1101	100-104	-2.881914221646163
1101	105-109	-2.194221449413604
1101	110-114	-3.2885271552401107
1101	115-119	-2.3032500343518123
1101	120-124	-1.900460348703234
1101	125-129	-2.3717326820061047
1101	130-134	-1.8789908842493261
1101	135-139	-2.3865764955431246
1101	140-144	-2.704625007818695
1101	145-149	-2.270089685191067
1101	150	-1.2613446783904365
1102	1	0.7128592989409483
1102	2	0.38677807897513716
1102	3	0.5006609209188397
1102	4	0.38320783634797806
1102	5	0.658124795366561
1102	6	0.3242795781029457
1102	7	0.6165622280296432
1102	8	0.4880095157391793
1102	9	-0.8035757516203645
1102	10-14	0.7586972395023466
1102	15-19	0.5499183548686162
1102	20-24	0.5248921676536114
1102	25-29	0.4389145554234659
1102	30-34	0.3946939582148019
1102	35-39	0.3334418656877034
1102	40-44	0.5852092182016477
1102	45-49	0.420829010903482
1102	50-54	0.361425356278815
1102	55-59	0.39012071421731065
1102	60-64	0.5198662387961193
1102	65-69	0.2527992401561221
1102	70-74	0.2305078746064595
1102	75-79	0.20070298906918538
1102	80-84	0.11512539307668135
1102	85-89	-0.43677754926213197
1102	90-94	0.027442548875988848
1102	95-99	-0.6472641554334118
1102	100-104	-0.6654476853532643
1102	105-109	0.07900931271085199
1102	110-114	-0.9031241296695427
1102	115-119	-0.35349613488956777
1102	120-124	-0.6276665965918014
1102	125-129	0.029224950813841133
1102	130-134	0.38783864748504016
1102	135-139	0.5929602401341185
1102	140-144	0.8404976327015348
1102	145-149	0.3379240659512064
1102	150	0.9433640149871962
1103	1	0.47863708175347597
1103	2	0.6277345018301155
1103	3	0.8218263775188603
1103	4	0.9950350916566677
1103	5	0.7963350139772842
1103	6	0.937855479949981
1103	7	0.9251537564791619
1103	8	1.0289236514099116
1103	9	0.9097083611318411
1103	10-14	0.9426329751082818
1103	15-19	0.8048612942359057
1103	20-24	0.8658210969410689
1103	25-29	0.7609710549161903
1103	30-34	0.9187305803295942
1103	35-39	0.8256111528543144
1103	40-44	0.912201358767966
1103	45-49	1.0408499915488036
1103	50-54	0.9784891931251707
1103	55-59	1.1047007674553342
1103	60-64	1.0104138110522243
1103	65-69	1.198264887190767
1103	70-74	1.185668724738612
1103	75-79	1.1598545100900566
1103	80-84	1.0592465933672983
1103	85-89	0.9519968937178831
1103	90-94	1.0315643485059454
